snippet,intent
"zipfile.ZipInfo(1, 1, 0, 0, 0), filename='NoName')","Class used to represent information about a member of an archive . `filename` should be the full name of the archive member , and `date_time` should be a tuple containing six fields which describe the time of the last modification to the file ; the fields are described in section ZipInfo Objects . With arguments `1`, `1`, `0`, `0`, `0)`."
"random.sample(population, k)",Return a `k` length list of unique elements chosen from the `population` sequence or set .
curses.curs_set(visibility),"Set the cursor state . `visibility` can be set to 0 , 1 , or 2 , for invisible , normal , or very visible ."
"calendar.prcal(year, w=0)",Prints the calendar for an entire `year` as returned by calendar ( ) . With arguments `w`.
"test_case.addCleanup(function, *args, **kwargs)","Add a `function` to be called after tearDown ( ) to cleanup resources used during the test . With arguments `*args`, `**kwargs`."
"webbrowser.register(name, constructor)","Register the browser type `name` . If `instance` is not provided , or is None , `constructor` will be called without parameters to create an instance when needed ."
Element.setAttributeNode(newAttr),"Add a new attribute node to the element , replacing an existing attribute if necessary if the name attribute matches . If `newAttr` is already in use , InuseAttributeErr will be raised ."
os.major(device),Extract the `device` major number from a raw device number ( usually the st_dev or st_rdev field from stat ) .
"bdb.get_stack(f, t)","Get a list of records for a frame and all higher ( calling ) and lower frames , and the size of the higher part . With arguments `f`, `t`."
"hashlib.scrypt(password, salt, n, r, p, dklen=64)","The function provides scrypt password-based key derivation function as defined in RFC 7914 . `password` and `salt` must be bytes-like objects . `n` is the CPU/Memory cost factor , `r` the block size , `p` parallelization factor and `maxmem` limits memory ( OpenSSL 1.1.0 defaults to 32 MiB ) . `dklen` is the length of the derived key ."
"io.BufferedRWPair(reader, writer)","A buffered I/O object combining two unidirectional RawIOBase objects – one readable , the other writeable – into a single bidirectional endpoint . `reader` and `writer` are RawIOBase objects that are readable and writeable respectively ."
"email.contentmanager.set_content(msg, <'str'>, headers=None)",Add `headers` and payload to `msg` : With arguments `<'str'>`.
"urllib.request.urlretrieve(url, filename=None, data=None)","Copy a network object denoted by a URL to a local file . If the `url` uses the http : scheme identifier , the optional `data` argument may be given to specify a POST request ( normally the request type is GET ) . If the URL points to a local file , the object will not be copied unless `filename` is supplied ."
date.fromordinal(ordinal),"Return the date corresponding to the proleptic Gregorian `ordinal` , where January 1 of year 1 has ordinal 1 ."
multiprocessing.Queue(maxsize),Returns a process shared queue implemented using a pipe and a few locks/semaphores . With arguments `maxsize`.
sqlite3.Connection,A SQLite database connection has the following attributes and methods:
"datetime.combine(date, time)","Return a new datetime object whose `date` components are equal to the given date object ’ s , and whose `time` components are equal to the given time object ’ s ."
"loop.create_server(protocol_factory, backlog=100)","Create a TCP server ( socket type SOCK_STREAM ) listening on `port` of the `host` address . With arguments `protocol_factory`, `backlog`."
ArgumentParser.add_mutually_exclusive_group(required=False),"Create a mutually exclusive group . The add_mutually_exclusive_group ( ) method also accepts a `required` argument , to indicate that at least one of the mutually exclusive arguments is required :"
chunk.read(size=-1),Read at most `size` bytes from the chunk ( less if the read hits the end of the chunk before obtaining size bytes ) .
print(*objects),"Print objects to the text stream `file` , separated by `sep` and followed by `end` . With arguments `*objects`."
"doctest.run_docstring_examples(f, globs, optionflags=0)","Test examples associated with object `f` ; for example , f may be a string , a module , a function , or a class object . A shallow copy of dictionary argument `globs` is used for the execution context . Optional argument `optionflags` works as for function testfile ( ) above ."
fileinput.input(inplace=False),Create an instance of the FileInput class . With arguments `inplace`.
"null_importer.find_module(fullname, path)","This method always returns None , indicating that the requested module could not be found . With arguments `fullname`, `path`."
wsgiref.util.FileWrapper(filelike),"A wrapper to convert a file-like object to an iterator . As the object is iterated over , the optional `blksize` parameter will be repeatedly passed to the `filelike` object ’ s read ( ) method to obtain bytestrings to yield ."
formatter.push_alignment(align),"Push a new alignment setting onto the alignment stack . If the alignment value is changed from the previous setting , the writer ’ s new_alignment ( ) method is called with the `align` value ."
"epoll.poll(timeout=-1, maxevents=-1)",Wait for events . `timeout` in seconds ( float ) With arguments `maxevents`.
